2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3737800,  Drinking water, 0, 0, 0, 0, 0, 0, 550000, 550000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3737800,  Education, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3737800,  Health, 0, 0, 0, 0, 0, 0, 100000, 100000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3737800,  Roads, 0, 0, 0, 0, 0, 0, 604400, 604400
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3737800,  Sanitation, 0, 0, 0, 0, 0, 0, 750000, 750000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3737800, Total, 0, 0, 0, 0, 0, 0, 2054400, 2054400
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3840772,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 834280, 834280
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3840772,  Drinking water, 0, 0, 188750, 188750, 0, 0, 240400, 240400
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3840772,  Roads, 0, 0, 0, 0, 0, 0, 407500, 407500
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3840772,  Sanitation, 0, 0, 188750, 188750, 0, 0, 50000, 50000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3840772, Total, 0, 0, 377500, 377500, 0, 0, 1532180, 1532180
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 4088986,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 28000, 28000
