2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2329463,  Roads, 0, 0, 0, 0, 0, 0, 7909900, 7909900
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2329463,  Rural electrification, 0, 0, 0, 0, 0, 0, 198000, 198000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2329463,  Sanitation, 0, 0, 0, 0, 0, 0, 548000, 548000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2329463,  Water Conservation, 0, 0, 0, 0, 0, 0, 1548000, 1548000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2329463, Total, 0, 0, 0, 0, 0, 0, 11606900, 11606900
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2480431,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 226000, 226000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2480431,  Drinking water, 0, 0, 0, 0, 0, 0, 750000, 750000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2480431,  Education, 0, 0, 0, 0, 0, 0, 195000, 195000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2480431,  Roads, 0, 0, 0, 0, 0, 0, 8120000, 8120000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2480431,  Sanitation, 0, 0, 0, 0, 0, 0, 80000, 80000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2480431,  Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 10000, 10000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2480431, Total, 0, 0, 0, 0, 0, 0, 9381000, 9381000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2627088,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 384000, 384000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2627088,  Drinking water, 0, 0, 0, 0, 0, 0, 1400000, 1400000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2627088,  Roads, 0, 0, 0, 0, 0, 0, 550000, 550000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2627088, Total, 0, 0, 0, 0, 0, 0, 2334000, 2334000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2806738,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 50000, 50000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2806738,  Drinking water, 0, 0, 0, 0, 0, 0, 720000, 720000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2806738,  Education, 0, 0, 0, 0, 0, 0, 65000, 65000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2806738,  Roads, 0, 0, 0, 0, 0, 0, 625000, 625000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2806738,  Sanitation, 0, 0, 0, 0, 0, 0, 200000, 200000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ATUS, 42732, 2806738, Total, 0, 0, 0, 0, 0, 0, 1660000, 1660000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2216900,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 62000, 62000
