2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, NIMHA, 131567, 1623711, Roads, 0, 0, 0, 0, 0, 0, 2860800, 2860800
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, NIMHA, 131567, 1623711, Total, 0, 0, 0, 0, 0, 0, 2860800, 2860800
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, REUDA, 131575, 1623713, Roads, 0, 0, 0, 0, 0, 0, 965550, 965550
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, REUDA, 131575, 1623713, Total, 0, 0, 0, 0, 0, 0, 965550, 965550
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, TITRIPONDI, 131583, 1623716, Roads, 0, 0, 0, 0, 0, 0, 1629750, 1629750
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, TITRIPONDI, 131583, 1623716, Total, 0, 0, 0, 0, 0, 0, 1629750, 1629750
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, URA, 131584, 1623717, Maintenance of community system, 0, 0, 0, 0, 0, 0, 498000, 498000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, URA, 131584, 1623717, Roads, 0, 0, 0, 0, 0, 0, 407000, 407000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, URA, 131584, 1623717, Total, 0, 0, 0, 0, 0, 0, 905000, 905000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, SOHI BELHA, 131581, 1623715, Roads, 0, 0, 0, 0, 0, 0, 2019250, 2019250
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, SOHI BELHA, 131581, 1623715, Total, 0, 0, 0, 0, 0, 0, 2019250, 2019250
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, DARSAGAR, 131549, 1623704, Roads, 0, 0, 0, 0, 0, 0, 2442398, 2442398
2017, MADHYA PRADESH, 23, ANUPPUR, 349, ANUPPUR, 4099, DARSAGAR, 131549, 1623704, Total, 0, 0, 0, 0, 0, 0, 2442398, 2442398
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, KANSA, 131622, 1623732, Roads, 0, 0, 0, 0, 0, 0, 667000, 667000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, KANSA, 131622, 1623732, Total, 0, 0, 0, 0, 0, 0, 667000, 667000
