2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LEYA, 273754, 1643363, Total, 0, 0, 0, 0, 0, 0, 1450000, 1450000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LUNGSA, 273753, 1643412, Social welfare, 0, 0, 0, 0, 0, 0, 2000000, 2000000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LUNGSA, 273753, 1643412, Total, 0, 0, 0, 0, 0, 0, 2000000, 2000000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, UPPER CHABANG, 273758, 1643738, Roads, 0, 0, 0, 0, 0, 0, 600000, 600000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, UPPER CHABANG, 273758, 1643738, Social welfare, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, UPPER CHABANG, 273758, 1643738, Total, 0, 0, 0, 0, 0, 0, 1100000, 1100000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LOWER CHABANG, 273759, 1643457, Drinking water, 0, 0, 0, 0, 0, 0, 700000, 700000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LOWER CHABANG, 273759, 1643457, Social welfare, 0, 0, 0, 0, 0, 0, 700000, 700000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LOWER CHABANG, 273759, 1643457, Total, 0, 0, 0, 0, 0, 0, 1400000, 1400000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LOWER PINCHI, 273756, 1643744, Roads, 0, 0, 0, 0, 0, 0, 700000, 700000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LOWER PINCHI, 273756, 1643744, Water Conservation, 0, 0, 0, 0, 0, 0, 900000, 900000
2018, ARUNACHAL PRADESH, 12, KURUNG KUMEY, 224, PHASSANG, 273742, LOWER PINCHI, 273756, 1643744, Total, 0, 0, 0, 0, 0, 0, 1600000, 1600000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Chatting, 273544, 1963669, Animal husbandry, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Chatting, 273544, 1963669, Drinking water, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Chatting, 273544, 1963669, Fisheries, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Chatting, 273544, 1963669, Roads, 0, 0, 0, 0, 0, 0, 264040, 264040
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Chatting, 273544, 1963669, Total, 0, 0, 0, 0, 0, 0, 1764040, 1764040
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Pumao, 273543, 1963843, Animal husbandry, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Pumao, 273543, 1963843, Drinking water, 0, 0, 0, 0, 0, 0, 1087329, 1087329
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Pumao, 273543, 1963843, Fisheries, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Pumao, 273543, 1963843, Total, 0, 0, 0, 0, 0, 0, 3087329, 3087329
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Longkhaw, 273546, 1963779, Roads, 0, 0, 0, 0, 0, 0, 2000000, 2000000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Longkhaw, 273546, 1963779, Social welfare, 0, 0, 0, 0, 0, 0, 1094081, 1094081
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Longkhaw, 273546, 1963779, Total, 0, 0, 0, 0, 0, 0, 3094081, 3094081
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Maihua, 273545, 1963801, Fisheries, 0, 0, 0, 0, 0, 0, 300000, 300000
